id,original_url,source_page,original_filename,local_path,size_bytes,format,category,classification,language_context,alt_text,visual_subject,current_usage,rights_or_provenance_note,replacement_strategy,replacement_asset,status
CBOS-AST-0269,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_16.jpg?itok=FBaIcikN,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_16.jpg,cbos-source-assets/original/other/other_269_CBOS%20logo%20Black_6_256_16.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 16.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0270,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_15.jpg?itok=nPKXQcx4,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_15.jpg,cbos-source-assets/original/other/other_270_CBOS%20logo%20Black_6_256_15.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 15.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0271,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_11.jpg?itok=dUxkYN03,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_11.jpg,cbos-source-assets/original/other/other_271_CBOS%20logo%20Black_6_256_11.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 11.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0272,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_12.jpg?itok=ob3EN3LV,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_12.jpg,cbos-source-assets/original/other/other_272_CBOS%20logo%20Black_6_256_12.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 12.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0273,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_13.jpg?itok=k43qlET5,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_13.jpg,cbos-source-assets/original/other/other_273_CBOS%20logo%20Black_6_256_13.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 13.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0274,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_14.jpg?itok=YYh72axC,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_14.jpg,cbos-source-assets/original/other/other_274_CBOS%20logo%20Black_6_256_14.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 14.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0275,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_6.jpg?itok=gt7q1kK2,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_6.jpg,cbos-source-assets/original/other/other_275_CBOS%20logo%20Black_6_256_6.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 6.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0276,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_7.jpg?itok=gYWhJNHG,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_7.jpg,cbos-source-assets/original/other/other_276_CBOS%20logo%20Black_6_256_7.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 7.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0277,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_8.jpg?itok=Ass93IIC,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_8.jpg,cbos-source-assets/original/other/other_277_CBOS%20logo%20Black_6_256_8.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 8.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0278,https://cbos.gov.sd/sites/default/files/styles/publications_255_x_171/public/CBOS%20logo%20Black_6_256_9.jpg?itok=WR077YmR,https://cbos.gov.sd/ar/periodicals-publications,CBOS%20logo%20Black_6_256_9.jpg,cbos-source-assets/original/other/other_278_CBOS%20logo%20Black_6_256_9.jpg,45432,jpg,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,CBOS%20logo%20Black 6 256 9.jpg,ar_pub,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
